students
,stud.id,gender,age,height,weight,religion,nc.score,semester,major,minor,score1,score2,online.tutorial,graduated,salary
2364,225865,Male,20,177,75.4,Catholic,2.11,5th,Economics and Finance,Political Science,72,70,1,1,50078.3281713406
2365,464945,Male,23,192,89.7,Protestant,1.74,2nd,Mathematics and Statistics,Environmental Sciences,NA,NA,0,0,NA
2366,351105,Male,21,172,73.1,Catholic,1.85,4th,Economics and Finance,Biology,73,65,0,0,NA
2367,394851,Female,22,176,77.5,Catholic,1.94,2nd,Mathematics and Statistics,Biology,NA,NA,0,0,NA
2368,805836,Male,23,186,82.4,Other,3.25,1st,Political Science,Environmental Sciences,NA,NA,0,0,NA
2369,445948,Male,21,168,70.7,Protestant,1.32,5th,Mathematics and Statistics,Environmental Sciences,87,87,0,1,37014.0145404051
2370,656363,Female,19,157,65.3,Other,2.34,3rd,Social Sciences,Biology,46,37,0,0,NA
2371,469849,Male,21,184,78,Other,2.04,5th,Economics and Finance,Mathematics and Statistics,70,63,1,1,66922.1184816696
2372,426940,Female,23,163,67.3,Protestant,1.61,4th,Biology,Mathematics and Statistics,78,78,1,1,45120.1439832963
2373,571093,Male,43,170,71.6,Other,3.06,2nd,Biology,Mathematics and Statistics,NA,NA,0,0,NA
2374,665651,Female,21,164,67,Protestant,2.32,2nd,Biology,Social Sciences,NA,NA,0,0,NA
2375,263536,Female,21,164,65.5,Muslim,2.84,6th,Social Sciences,Environmental Sciences,45,50,1,0,NA
2376,826102,Male,33,181,84,Protestant,2.5,5th,Economics and Finance,Biology,62,67,1,0,NA
2377,841298,Male,21,190,91.2,Other,3.5,3rd,Economics and Finance,Political Science,69,81,1,0,NA
2378,198362,Male,22,172,70.3,Other,2.9,4th,Biology,Social Sciences,77,76,0,1,44482.7070479575
2379,748309,Female,24,165,67.2,Protestant,1.85,5th,Biology,Environmental Sciences,85,90,1,1,37760.0476549815
2380,945645,Male,20,178,76.1,Protestant,1.14,1st,Economics and Finance,Environmental Sciences,NA,NA,0,0,NA
2381,304903,Male,20,168,74.3,Protestant,2.17,3rd,Mathematics and Statistics,Social Sciences,84,83,0,0,NA
2382,895251,Male,23,170,70.8,Protestant,2.56,6th,Mathematics and Statistics,Environmental Sciences,92,91,1,0,NA
2383,244908,Male,18,184,82.1,Protestant,1.9,2nd,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
2384,458176,Male,21,179,77.7,Catholic,1.05,3rd,Mathematics and Statistics,Biology,91,90,1,0,NA
2385,427957,Female,21,162,67.1,Other,1.41,1st,Mathematics and Statistics,Social Sciences,NA,NA,0,0,NA
2386,435115,Male,22,184,84.9,Other,2.83,6th,Economics and Finance,Mathematics and Statistics,70,77,1,1,58113.0530480404
2387,199903,Female,21,170,70,Catholic,1.54,4th,Biology,Environmental Sciences,73,80,1,0,NA
2388,934141,Female,20,164,68.5,Other,3.48,5th,Political Science,Environmental Sciences,46,62,1,1,47968.0999927187
2389,651987,Male,23,185,86.2,Catholic,1.44,6th,Mathematics and Statistics,Social Sciences,89,92,1,1,44010.6749394305
2390,271433,Male,21,181,83.6,Other,1.45,6th,Social Sciences,Mathematics and Statistics,48,43,1,1,46246.9676588469
2391,352248,Male,19,187,81.4,Catholic,1.77,1st,Social Sciences,Environmental Sciences,NA,NA,0,0,NA
2392,445444,Female,20,158,65.5,Protestant,1.04,1st,Environmental Sciences,Political Science,NA,NA,0,0,NA
2393,455769,Male,21,174,76.8,Catholic,2.12,6th,Mathematics and Statistics,Environmental Sciences,89,83,1,1,48997.2511892154
2394,314681,Female,60,165,65,Protestant,1.74,2nd,Economics and Finance,Mathematics and Statistics,NA,NA,0,0,NA
2395,226857,Female,45,178,77.3,Orthodox,2.48,3rd,Social Sciences,Biology,50,44,1,0,NA
2396,361644,Male,21,196,102.2,Catholic,2.02,5th,Political Science,Social Sciences,54,50,0,1,47547.6520810536
2397,931265,Female,21,170,70,Protestant,1.17,2nd,Social Sciences,Mathematics and Statistics,NA,NA,0,0,NA
2398,616972,Female,21,163,66.1,Protestant,3.7,2nd,Economics and Finance,Political Science,NA,NA,0,0,NA
2399,202614,Male,19,184,83.8,Catholic,1.22,3rd,Mathematics and Statistics,Biology,85,91,1,0,NA
2400,249189,Female,21,178,77.3,Other,2.84,6th,Environmental Sciences,Economics and Finance,74,73,1,1,26269.0171789464
2401,375973,Female,20,163,67.1,Catholic,2.71,3rd,Biology,Social Sciences,78,83,1,0,NA
2402,360430,Female,22,164,72.3,Orthodox,3.01,4th,Political Science,Biology,49,48,1,1,30326.9076069243
2403,176318,Male,21,176,74.3,Catholic,3.44,6th,Economics and Finance,Environmental Sciences,67,65,1,1,54416.3177090741
2404,659459,Female,20,155,61,Other,1.81,2nd,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
2405,453023,Female,18,168,71.8,Catholic,1.03,3rd,Biology,Environmental Sciences,76,74,1,0,NA
2406,960601,Male,20,172,71.1,Other,1.2,2nd,Environmental Sciences,Social Sciences,NA,NA,0,0,NA
2407,924359,Male,24,183,79.3,Catholic,1,2nd,Mathematics and Statistics,Environmental Sciences,NA,NA,0,0,NA
2408,676173,Female,22,169,68.1,Protestant,2.21,3rd,Biology,Environmental Sciences,82,84,1,0,NA
2409,567934,Female,22,141,55.9,Catholic,3.28,2nd,Economics and Finance,Political Science,NA,NA,0,0,NA
2410,947847,Male,21,186,83.9,Catholic,1.09,4th,Environmental Sciences,Economics and Finance,82,66,0,0,NA
2411,399578,Male,20,169,68.8,Catholic,3.72,2nd,Economics and Finance,Social Sciences,NA,NA,0,0,NA
2412,320673,Female,20,161,68.2,Other,2.42,3rd,Social Sciences,Mathematics and Statistics,46,55,1,0,NA
2413,873076,Female,23,150,61.4,Catholic,3.26,5th,Environmental Sciences,Political Science,74,74,1,1,31386.5836185482
2414,936548,Female,22,161,65.8,Other,1.59,6th,Biology,Social Sciences,83,76,0,1,49042.9014476226
2415,888536,Male,25,178,76.1,Other,1.08,1st,Environmental Sciences,Political Science,NA,NA,0,0,NA
2416,930920,Female,21,165,67,Protestant,2.74,3rd,Social Sciences,Political Science,45,44,1,0,NA
2417,628499,Female,21,168,69,Other,3.83,1st,Social Sciences,Mathematics and Statistics,NA,NA,0,0,NA
2418,148809,Male,21,173,73.8,Other,3.22,6th,Biology,Environmental Sciences,79,83,1,0,NA
2419,119846,Female,21,174,75.4,Other,1.13,2nd,Political Science,Biology,NA,NA,0,0,NA
2420,966715,Male,22,166,64.8,Catholic,2.82,>6th,Environmental Sciences,Political Science,67,74,0,0,NA
2421,806474,Female,20,161,60.9,Other,3.85,3rd,Political Science,Biology,59,50,1,0,NA
2422,481418,Male,21,188,85.3,Other,1.72,5th,Mathematics and Statistics,Environmental Sciences,87,89,0,1,57047.9909074988
2423,276165,Male,26,175,76.9,Other,1.56,5th,Economics and Finance,Biology,63,74,1,1,59404.1959754962
2424,547954,Female,19,176,72.6,Catholic,3.94,4th,Biology,Political Science,72,79,0,0,NA
2425,741085,Female,20,143,56.2,Other,2.44,3rd,Environmental Sciences,Biology,70,77,1,0,NA
2426,755734,Female,21,157,64.4,Catholic,3.12,1st,Biology,Political Science,NA,NA,0,0,NA
2427,850691,Male,21,169,71.8,Catholic,3.55,4th,Political Science,Mathematics and Statistics,59,52,1,0,NA
2428,753105,Female,20,164,70,Orthodox,1.17,2nd,Political Science,Mathematics and Statistics,NA,NA,0,0,NA
2429,483024,Female,33,152,60.1,Protestant,2.7,3rd,Social Sciences,Political Science,43,50,1,0,NA
2430,279671,Male,24,173,74.4,Other,2.74,2nd,Biology,Mathematics and Statistics,NA,NA,0,0,NA
2431,505652,Male,22,179,73.9,Other,3.89,5th,Environmental Sciences,Political Science,66,71,1,1,33924.9483938281
2432,540212,Male,25,177,74.4,Catholic,2.15,2nd,Mathematics and Statistics,Biology,NA,NA,0,0,NA
2433,286237,Male,22,191,89.5,Other,1.51,1st,Biology,Political Science,NA,NA,0,0,NA
2434,894127,Female,21,168,71.4,Other,1.78,5th,Social Sciences,Mathematics and Statistics,53,46,1,1,27632.0815073352
2435,457748,Male,20,186,86.5,Other,1.79,1st,Economics and Finance,Political Science,NA,NA,0,0,NA
2436,228580,Female,21,171,66.9,Catholic,3.01,4th,Social Sciences,Economics and Finance,46,47,1,1,31224.4617688616
2437,742844,Male,18,183,80.5,Other,2.59,1st,Environmental Sciences,Economics and Finance,NA,NA,0,0,NA
2438,712039,Female,29,168,66.9,Catholic,3.85,5th,Economics and Finance,Social Sciences,68,64,1,1,42108.0002038571
2439,248311,Male,34,178,73.8,Catholic,1.55,4th,Biology,Environmental Sciences,80,74,0,0,NA
2440,149248,Female,22,167,70.5,Other,2.01,6th,Social Sciences,Mathematics and Statistics,46,45,0,0,NA
2441,979289,Female,22,164,65.4,Orthodox,1.52,4th,Political Science,Environmental Sciences,55,58,1,1,36508.2386419296
2442,403401,Male,22,173,73.2,Other,3.12,>6th,Political Science,Social Sciences,60,58,0,1,37747.913790129
2443,149540,Female,18,172,71.5,Other,1.19,>6th,Political Science,Social Sciences,55,58,1,1,34492.0772055371
2444,831973,Female,51,152,63.8,Protestant,2.8,>6th,Biology,Mathematics and Statistics,74,80,1,1,38721.8290436569
2445,655546,Female,20,161,67,Catholic,1.74,2nd,Environmental Sciences,Social Sciences,NA,NA,0,0,NA
2446,165377,Female,21,143,56.6,Protestant,3.53,6th,Environmental Sciences,Political Science,74,69,0,1,30095.6561070038
2447,367288,Female,21,173,71.6,Catholic,1.71,2nd,Political Science,Economics and Finance,NA,NA,0,0,NA
2448,494025,Male,21,165,70.3,Protestant,1.18,2nd,Environmental Sciences,Social Sciences,NA,NA,0,0,NA
2449,334132,Female,23,158,59.6,Other,1.63,4th,Social Sciences,Economics and Finance,45,44,1,0,NA
2450,510131,Female,21,162,65.5,Other,1.57,1st,Economics and Finance,Social Sciences,NA,NA,0,0,NA
2451,566937,Male,19,190,87.5,Muslim,1.02,1st,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
2452,720187,Male,51,192,90,Catholic,3.55,3rd,Environmental Sciences,Political Science,73,76,1,0,NA
2453,951144,Male,22,187,88.2,Orthodox,3.03,2nd,Biology,Economics and Finance,NA,NA,0,0,NA
2454,798476,Male,19,192,92.1,Catholic,2.1,2nd,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
2455,868669,Male,21,181,84,Muslim,1.17,2nd,Political Science,Environmental Sciences,NA,NA,0,0,NA
2456,492136,Female,21,170,70,Muslim,1.08,6th,Biology,Political Science,72,81,0,1,38188.8919462149
2457,897152,Female,20,164,67.7,Catholic,1.38,3rd,Mathematics and Statistics,Social Sciences,85,92,1,0,NA
2458,232713,Female,18,166,72.1,Catholic,3.01,4th,Biology,Political Science,73,84,1,0,NA
2459,726505,Female,21,162,65.8,Other,1.46,2nd,Social Sciences,Mathematics and Statistics,NA,NA,0,0,NA
2460,969521,Female,21,161,65.1,Orthodox,1.02,2nd,Political Science,Economics and Finance,NA,NA,0,0,NA
2461,386584,Female,20,160,65.7,Other,1.29,1st,Biology,Economics and Finance,NA,NA,0,0,NA
2462,919151,Female,18,170,73,Muslim,1.2,4th,Economics and Finance,Biology,68,72,1,0,NA
2463,754728,Male,24,179,74.1,Other,2.76,3rd,Political Science,Mathematics and Statistics,55,54,0,0,NA
2464,579104,Male,20,183,81.3,Orthodox,1.75,5th,Environmental Sciences,Social Sciences,65,76,1,1,47308.5004278492
2465,458881,Female,19,162,62,Catholic,3.23,6th,Economics and Finance,Biology,73,71,1,1,43748.9951638085
2466,654710,Male,22,184,81.8,Other,2.59,6th,Economics and Finance,Social Sciences,71,60,0,1,51367.3744612091
2467,379164,Female,21,161,68.3,Protestant,2.39,1st,Political Science,Economics and Finance,NA,NA,0,0,NA
2468,670749,Female,22,155,64.7,Orthodox,1.15,3rd,Social Sciences,Mathematics and Statistics,45,35,1,0,NA
2469,444341,Female,19,159,69.3,Other,3.2,2nd,Biology,Environmental Sciences,NA,NA,0,0,NA
2470,435518,Female,22,170,67.3,Catholic,1.19,1st,Environmental Sciences,Economics and Finance,NA,NA,0,0,NA
2471,681269,Female,19,148,61.3,Protestant,1.4,>6th,Social Sciences,Environmental Sciences,51,46,1,1,27606.4034001337
2472,199068,Female,44,158,63.5,Muslim,1.96,5th,Social Sciences,Economics and Finance,56,51,1,0,NA
2473,706940,Female,19,180,77,Protestant,2.95,3rd,Environmental Sciences,Political Science,64,80,0,0,NA
2474,240345,Female,21,160,64.5,Other,1.06,3rd,Social Sciences,Mathematics and Statistics,53,38,1,0,NA
2475,217292,Male,21,175,74.3,Catholic,3.7,3rd,Biology,Economics and Finance,78,82,1,0,NA
2476,801346,Female,22,183,83.2,Protestant,2.5,1st,Economics and Finance,Social Sciences,NA,NA,0,0,NA
2477,630637,Male,20,186,85.7,Other,2.23,3rd,Political Science,Mathematics and Statistics,58,63,0,0,NA
2478,704386,Male,25,182,78.1,Protestant,1.49,3rd,Mathematics and Statistics,Social Sciences,87,87,0,0,NA
2479,752044,Female,18,170,72.6,Protestant,1.84,3rd,Biology,Environmental Sciences,67,78,1,0,NA
2480,694960,Male,22,174,74.1,Other,1.55,1st,Economics and Finance,Social Sciences,NA,NA,0,0,NA
2481,251582,Female,22,170,68.4,Protestant,1.73,3rd,Biology,Mathematics and Statistics,78,77,1,0,NA
2482,392120,Female,20,159,67.3,Catholic,2.12,2nd,Social Sciences,Political Science,NA,NA,0,0,NA
2483,144612,Female,24,154,62.1,Catholic,2.46,1st,Mathematics and Statistics,Political Science,NA,NA,0,0,NA
2484,552063,Female,22,160,65.8,Protestant,3.38,1st,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
2485,635236,Male,23,176,77.8,Catholic,1.27,4th,Mathematics and Statistics,Social Sciences,88,92,1,0,NA
2486,747871,Male,20,178,73.2,Catholic,2.54,2nd,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
2487,540181,Female,21,171,66,Catholic,2.12,4th,Environmental Sciences,Economics and Finance,73,69,0,0,NA
2488,667472,Female,21,171,71.8,Muslim,2.46,4th,Social Sciences,Environmental Sciences,48,42,1,0,NA
2489,298182,Male,21,184,80.8,Protestant,2.28,5th,Economics and Finance,Mathematics and Statistics,62,67,1,1,59920.4805810538
2490,481558,Male,22,176,78.5,Catholic,3.36,>6th,Economics and Finance,Social Sciences,65,72,0,1,51465.4203501794
2491,665823,Male,20,185,78.6,Protestant,1.2,4th,Mathematics and Statistics,Biology,88,90,1,0,NA
2492,202012,Male,22,195,94.4,Other,2.21,5th,Biology,Social Sciences,76,75,1,1,49940.5535302943
2493,512261,Male,23,181,82.4,Other,1.05,4th,Economics and Finance,Environmental Sciences,71,67,1,0,NA
2494,513875,Female,49,150,60.8,Other,2.98,4th,Economics and Finance,Biology,67,67,1,0,NA
2495,168863,Female,20,157,60.3,Other,2.12,4th,Economics and Finance,Social Sciences,67,70,0,0,NA
2496,286333,Female,22,171,68.6,Catholic,3.22,2nd,Political Science,Economics and Finance,NA,NA,0,0,NA
2497,445871,Female,22,164,70.2,Other,1.42,5th,Biology,Mathematics and Statistics,85,81,1,1,51353.4623132109
2498,350814,Male,19,182,83.8,Other,2.73,3rd,Social Sciences,Biology,44,44,0,0,NA
2499,687990,Female,31,173,74.2,Other,3.8,2nd,Economics and Finance,Political Science,NA,NA,0,0,NA
2500,747244,Male,22,194,96.7,Protestant,1.25,5th,Economics and Finance,Environmental Sciences,69,67,1,1,64271.119788149
2501,288946,Female,19,157,61.3,Other,2.34,2nd,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
2502,388967,Female,21,154,65.3,Catholic,1.45,3rd,Environmental Sciences,Political Science,65,72,1,0,NA
2503,460611,Male,21,180,78.4,Catholic,2.32,1st,Economics and Finance,Political Science,NA,NA,0,0,NA
2504,647407,Female,26,180,77.8,Other,1.28,3rd,Economics and Finance,Political Science,69,54,1,0,NA
2505,952649,Male,19,164,66.3,Catholic,1.4,>6th,Political Science,Environmental Sciences,60,55,0,1,37819.8300934091
2506,629063,Male,21,173,75.1,Other,1.23,3rd,Biology,Political Science,74,82,1,0,NA
2507,729579,Female,23,155,64.8,Protestant,1.47,4th,Mathematics and Statistics,Political Science,87,93,1,0,NA
2508,439609,Female,22,159,64.4,Other,3.65,2nd,Social Sciences,Environmental Sciences,NA,NA,0,0,NA
2509,334303,Female,20,169,71.5,Protestant,2.45,2nd,Political Science,Economics and Finance,NA,NA,0,0,NA
2510,567209,Female,21,164,64.8,Catholic,3.9,1st,Political Science,Environmental Sciences,NA,NA,0,0,NA
2511,243014,Male,20,188,93.1,Other,2.02,5th,Mathematics and Statistics,Political Science,90,87,0,1,69351.4141701425
2512,893193,Female,21,161,65.9,Protestant,2.12,5th,Biology,Economics and Finance,71,78,1,0,NA
2513,691043,Male,24,190,91.3,Other,3,1st,Environmental Sciences,Economics and Finance,NA,NA,0,0,NA
2514,543466,Male,22,174,68.6,Protestant,3.32,6th,Economics and Finance,Social Sciences,65,61,0,1,51568.1056365408
2515,824076,Female,20,166,69.3,Protestant,2.19,3rd,Political Science,Social Sciences,52,63,1,0,NA
2516,714061,Female,21,174,75.1,Muslim,2.93,4th,Political Science,Biology,50,58,1,0,NA
2517,516874,Female,23,159,65.8,Catholic,2.2,3rd,Biology,Political Science,74,75,0,0,NA
2518,483987,Male,20,180,78.9,Catholic,3.28,1st,Mathematics and Statistics,Social Sciences,NA,NA,0,0,NA
2519,736577,Female,21,168,70.5,Protestant,1.52,1st,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
2520,186220,Male,23,180,76,Catholic,2.71,>6th,Social Sciences,Biology,37,60,1,1,37258.9629511862
2521,648995,Female,20,156,62.6,Other,1.81,1st,Political Science,Social Sciences,NA,NA,0,0,NA
2522,669002,Male,20,188,86.7,Protestant,3.04,3rd,Mathematics and Statistics,Social Sciences,89,85,1,0,NA
2523,482518,Female,22,158,63,Other,1.44,6th,Environmental Sciences,Social Sciences,69,80,1,1,29325.8687415055
2524,396803,Female,23,174,75.1,Protestant,3.18,2nd,Environmental Sciences,Social Sciences,NA,NA,0,0,NA
2525,407261,Male,23,184,80.9,Protestant,1.37,4th,Economics and Finance,Biology,62,59,1,0,NA
2526,185325,Male,56,183,81.2,Catholic,1.73,4th,Political Science,Economics and Finance,67,57,1,0,NA
2527,766664,Female,22,177,78.9,Catholic,1.95,>6th,Environmental Sciences,Mathematics and Statistics,75,82,1,1,34211.7485451042
2528,762595,Female,21,149,58.1,Protestant,1.9,4th,Economics and Finance,Mathematics and Statistics,67,66,1,1,42971.2892308148
2529,814750,Male,20,178,77.2,Protestant,2.59,2nd,Mathematics and Statistics,Biology,NA,NA,0,0,NA
2530,306239,Female,21,171,74.4,Other,2.49,1st,Biology,Political Science,NA,NA,0,0,NA
2531,520343,Male,21,173,76.5,Other,1.91,6th,Mathematics and Statistics,Economics and Finance,84,92,1,0,NA
2532,536100,Female,19,171,70.6,Catholic,2.41,2nd,Biology,Political Science,NA,NA,0,0,NA
2533,491571,Female,23,145,63.2,Catholic,2.11,5th,Social Sciences,Environmental Sciences,37,46,1,1,42555.1875908831
2534,303735,Male,21,184,82.3,Catholic,1.16,1st,Biology,Political Science,NA,NA,0,0,NA
2535,212173,Female,21,158,59.6,Other,3.22,1st,Mathematics and Statistics,Political Science,NA,NA,0,0,NA
2536,577119,Male,22,171,76,Catholic,2.31,6th,Social Sciences,Environmental Sciences,49,35,1,1,33831.460122688
2537,131665,Female,24,169,71.6,Other,1.41,3rd,Social Sciences,Environmental Sciences,41,44,1,0,NA
2538,888933,Male,22,181,79.3,Other,1.11,3rd,Political Science,Environmental Sciences,60,59,1,0,NA
2539,143686,Female,22,167,68.5,Other,1.79,3rd,Political Science,Environmental Sciences,54,56,0,0,NA
2540,354338,Male,21,163,66.9,Protestant,3.86,4th,Environmental Sciences,Biology,72,73,0,0,NA
2541,658745,Female,21,162,67.2,Other,1.94,1st,Political Science,Social Sciences,NA,NA,0,0,NA
2542,638876,Male,19,169,70.2,Other,1.34,4th,Environmental Sciences,Biology,69,78,1,0,NA
2543,663353,Male,21,189,88.5,Other,1.78,1st,Political Science,Mathematics and Statistics,NA,NA,0,0,NA
2544,440403,Female,21,168,70.5,Other,1.24,3rd,Biology,Environmental Sciences,76,76,1,0,NA
2545,751394,Female,19,155,61.8,Other,2.9,1st,Social Sciences,Environmental Sciences,NA,NA,0,0,NA
2546,863615,Male,41,181,74.3,Orthodox,3.8,5th,Environmental Sciences,Economics and Finance,72,73,1,1,34491.2802762855
2547,880522,Male,26,167,72.3,Catholic,2.11,2nd,Biology,Social Sciences,NA,NA,0,0,NA
2548,894922,Male,22,174,73.5,Other,1.92,3rd,Mathematics and Statistics,Social Sciences,88,87,1,0,NA
2549,922218,Female,22,163,62.6,Protestant,3.36,3rd,Political Science,Economics and Finance,50,58,1,0,NA
2550,915922,Female,22,157,62.4,Catholic,2.72,2nd,Political Science,Environmental Sciences,NA,NA,0,0,NA
2551,635655,Female,24,156,65.1,Other,2.45,4th,Political Science,Mathematics and Statistics,49,62,1,0,NA
2552,186285,Male,22,166,69.2,Other,1.57,6th,Mathematics and Statistics,Biology,88,91,0,0,NA
2553,659921,Male,25,198,98.1,Catholic,2.05,5th,Mathematics and Statistics,Biology,93,87,1,1,70324.8376938153
2554,375863,Female,22,159,62.6,Other,2.87,1st,Biology,Environmental Sciences,NA,NA,0,0,NA
2555,824178,Female,26,160,68.7,Other,1.95,2nd,Social Sciences,Biology,NA,NA,0,0,NA
2556,968176,Male,21,181,78.7,Catholic,3.02,4th,Mathematics and Statistics,Biology,80,89,1,0,NA
2557,901241,Male,19,164,66.4,Orthodox,1.18,3rd,Economics and Finance,Political Science,71,64,0,0,NA
2558,195151,Female,23,170,68.8,Orthodox,2.01,3rd,Biology,Environmental Sciences,85,87,1,0,NA
2559,813853,Male,36,192,87.7,Orthodox,2.17,5th,Biology,Political Science,72,82,1,1,54410.4392255783
2560,186782,Female,24,152,61.4,Catholic,3.04,1st,Social Sciences,Mathematics and Statistics,NA,NA,0,0,NA
2561,652714,Female,22,169,67.3,Other,3.09,3rd,Biology,Environmental Sciences,82,76,1,0,NA
2562,297472,Male,23,174,74.2,Catholic,1.32,3rd,Environmental Sciences,Mathematics and Statistics,70,73,0,0,NA
2563,304740,Female,24,158,63.8,Protestant,1.8,3rd,Economics and Finance,Social Sciences,62,64,1,0,NA
2564,946346,Male,20,169,67.8,Other,1.53,6th,Biology,Economics and Finance,76,70,0,1,46897.2679672887
2565,868067,Female,22,167,68.3,Other,2.31,5th,Political Science,Biology,51,56,0,0,NA
2566,231747,Female,18,165,68,Protestant,1.69,1st,Social Sciences,Environmental Sciences,NA,NA,0,0,NA
2567,352218,Female,19,170,70.5,Protestant,2.72,2nd,Political Science,Mathematics and Statistics,NA,NA,0,0,NA
2568,546796,Female,47,167,67.4,Catholic,1.46,2nd,Political Science,Economics and Finance,NA,NA,0,0,NA
2569,598622,Male,24,181,80.1,Protestant,1.37,2nd,Economics and Finance,Social Sciences,NA,NA,0,0,NA
2570,584261,Female,22,167,65.1,Catholic,1.94,3rd,Economics and Finance,Political Science,66,65,1,0,NA
2571,924207,Male,22,174,73.8,Other,1.76,3rd,Economics and Finance,Political Science,64,66,0,0,NA
2572,236413,Female,23,162,64.5,Catholic,3.51,2nd,Biology,Economics and Finance,NA,NA,0,0,NA
2573,865700,Female,26,164,69.6,Catholic,2.3,1st,Mathematics and Statistics,Political Science,NA,NA,0,0,NA
2574,617524,Female,19,159,60.8,Other,1.67,4th,Political Science,Environmental Sciences,49,61,1,0,NA
2575,163772,Female,23,163,65.4,Protestant,1.9,4th,Environmental Sciences,Economics and Finance,76,67,0,1,28235.0610883549
2576,496356,Female,24,164,65.6,Catholic,2.41,3rd,Political Science,Biology,58,53,0,0,NA
2577,153149,Male,21,169,70.6,Other,3.26,5th,Biology,Social Sciences,72,75,0,1,53242.3813410964
2578,583966,Male,22,184,82.6,Catholic,2.8,4th,Environmental Sciences,Economics and Finance,70,75,1,0,NA
2579,613077,Female,20,172,75.6,Protestant,1.18,2nd,Political Science,Environmental Sciences,NA,NA,0,0,NA
2580,329167,Male,50,169,72.8,Other,1.41,5th,Economics and Finance,Social Sciences,66,69,1,0,NA
2581,421803,Male,22,185,83.2,Other,2.4,1st,Environmental Sciences,Political Science,NA,NA,0,0,NA
2582,498468,Female,22,171,66.9,Catholic,1.95,1st,Political Science,Environmental Sciences,NA,NA,0,0,NA
2583,905586,Male,21,160,65.8,Orthodox,1.65,5th,Economics and Finance,Environmental Sciences,64,66,0,1,47417.8286853428
2584,559035,Male,19,174,75.6,Protestant,1.83,6th,Mathematics and Statistics,Social Sciences,87,94,1,1,50317.8748370783
2585,692278,Male,20,168,68.3,Catholic,1.31,4th,Political Science,Environmental Sciences,49,61,1,0,NA
2586,234067,Female,20,167,68.5,Other,2.7,3rd,Mathematics and Statistics,Biology,92,85,1,0,NA
2587,211707,Female,22,162,67.2,Muslim,1.59,>6th,Biology,Mathematics and Statistics,74,76,1,1,40859.5594611126
2588,551999,Female,21,157,64.8,Orthodox,2.81,1st,Biology,Economics and Finance,NA,NA,0,0,NA
2589,661029,Male,19,185,82.7,Orthodox,1.75,3rd,Environmental Sciences,Mathematics and Statistics,68,73,1,0,NA
2590,227201,Male,23,179,75,Catholic,2.87,2nd,Biology,Economics and Finance,NA,NA,0,0,NA
2591,737759,Female,21,160,66.5,Protestant,2.44,2nd,Biology,Environmental Sciences,NA,NA,0,0,NA
2592,216661,Female,22,171,69.9,Catholic,2.15,2nd,Economics and Finance,Political Science,NA,NA,0,0,NA
2593,583832,Male,19,184,82.1,Catholic,1.05,2nd,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
2594,255335,Female,22,161,64.6,Catholic,1.61,2nd,Environmental Sciences,Political Science,NA,NA,0,0,NA
2595,682388,Female,22,161,69,Protestant,1.75,3rd,Biology,Social Sciences,79,74,1,0,NA
2596,531327,Male,20,174,73.3,Catholic,1.36,5th,Economics and Finance,Environmental Sciences,71,68,1,1,46884.9905270087
2597,202610,Female,23,152,61.5,Catholic,3.58,4th,Social Sciences,Environmental Sciences,49,42,1,0,NA
2598,604937,Male,21,180,78.9,Other,3.01,5th,Political Science,Social Sciences,53,47,1,1,35945.228326229
2599,705138,Male,24,190,88.6,Catholic,3.04,2nd,Environmental Sciences,Political Science,NA,NA,0,0,NA
2600,200631,Female,21,157,63.8,Other,1.79,1st,Economics and Finance,Political Science,NA,NA,0,0,NA
2601,791913,Female,20,160,63.5,Other,1.45,5th,Biology,Mathematics and Statistics,81,77,1,1,40064.4347611439
2602,347250,Male,20,186,80.3,Protestant,1.81,5th,Political Science,Environmental Sciences,53,57,1,0,NA
2603,788263,Male,19,163,67.3,Protestant,3.07,3rd,Biology,Political Science,73,86,1,0,NA
2604,814407,Female,19,160,65.9,Catholic,1.6,3rd,Environmental Sciences,Political Science,73,72,0,0,NA
2605,110615,Female,25,148,57.5,Other,2.61,6th,Social Sciences,Environmental Sciences,45,40,1,0,NA
2606,309747,Female,22,164,65.1,Orthodox,1.6,2nd,Environmental Sciences,Economics and Finance,NA,NA,0,0,NA
2607,303136,Female,45,160,63.5,Catholic,2.63,4th,Biology,Mathematics and Statistics,78,82,1,1,52691.5043360612
2608,263444,Female,22,166,67.7,Orthodox,2.52,1st,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
2609,566262,Female,22,184,82.7,Orthodox,1.68,6th,Economics and Finance,Biology,61,72,0,1,44368.513592221
2610,355357,Female,22,162,65.4,Orthodox,1.03,3rd,Biology,Economics and Finance,75,75,0,0,NA
2611,332055,Female,31,152,65.3,Catholic,3.5,2nd,Environmental Sciences,Mathematics and Statistics,NA,NA,0,0,NA
